Date,Open,High,Low,Close,Adj Close,Volume,Cumulative_Return
2022/8/15,40.5,41.509998,40.200001,41.029999,40.373474,175100,
2022/8/16,40.580002,41.389999,40.41,40.630001,39.979877,124700,
2022/8/17,40.400002,40.91,40.029999,40.630001,39.979877,127200,
2022/8/18,40.369999,40.84,40.049999,40.41,39.763397,69600,
2022/8/19,40.150002,40.68,39.689999,40.18,39.537075,118500,
2022/8/22,39.639999,39.66,37.93,38.27,37.657639,105000,
2022/8/23,38.220001,39.150002,38.220001,38.77,38.149635,71600,
2022/8/24,38.509998,39.099998,38.130001,38.560001,37.943001,70100,
2022/8/25,38.91,38.91,38.110001,38.380001,37.765877,47000,
2022/8/26,38.029999,38.360001,37.43,37.52,36.919636,87900,
2022/8/29,37.099998,37.299999,36.66,37.009998,36.417797,64600,
2022/8/30,37.130001,37.130001,36.380001,36.43,35.847076,113600,
2022/8/31,36.650002,36.869999,35.040001,35.41,34.843403,204800,
2022/9/1,35.200001,36.18,35.07,35.66,35.089401,92500,
2022/9/2,36.209999,36.32,35.41,35.68,35.109077,70700,
2022/9/6,35.950001,35.950001,34.84,35.27,34.705647,74500,
2022/9/7,35.349998,35.669998,34.810001,35.610001,35.040203,63700,
2022/9/8,35.400002,35.400002,34.639999,34.900002,34.34156,63500,
2022/9/9,35.310001,35.630001,34.779999,35.450001,34.882763,54600,
2022/9/12,35.639999,36.59,35.32,36.279999,35.699478,103200,
2022/9/13,35.68,35.950001,34.799999,35.02,34.459644,80300,
2022/9/14,35.009998,35.009998,34.09,34.560001,34.007004,98600,
2022/9/15,34.330002,34.939999,34.189999,34.41,33.859402,81800,
2022/9/16,34.119999,34.16,32.790001,34.09,33.544521,211900,
2022/9/19,33.779999,34.32,33.400002,33.779999,33.239479,65000,
2022/9/20,33.419998,33.790001,32.5,33.07,32.540844,116800,
2022/9/21,33.080002,33.990002,32.529999,32.650002,32.127567,93400,
2022/9/22,32.57,32.57,31.379999,31.77,31.261644,118500,
2022/9/23,31.290001,31.290001,30.450001,30.99,30.494125,112500,
2022/9/26,30.77,31.76,30.77,31.209999,30.710604,133800,
2022/9/27,31.42,32.27,31.01,31.58,31.074686,154000,
2022/9/28,31.870001,33.150002,31.68,32.84,32.314526,122600,
2022/9/29,32.41,32.41,31.360001,32.119999,31.606043,89600,
2022/9/30,32.080002,33.240002,32.040001,32.16,31.645405,124300,
2022/10/3,32.619999,33.91,32,33.57,33.032845,107300,
2022/10/4,33.740002,34.630001,33.740002,34.16,33.613403,242900,
2022/10/5,33.849998,34.32,33.48,33.59,33.052525,104600,
2022/10/6,33.48,33.790001,33.150002,33.310001,32.777004,92500,
2022/10/7,33,33,31.65,32.23,31.714285,95900,
2022/10/10,32.060001,33.200001,32.060001,32.779999,32.255482,63800,
2022/10/11,32.869999,33.23,31.92,32.389999,31.871725,100900,
2022/10/12,32.419998,32.720001,31.74,31.790001,31.281328,113000,
2022/10/13,31.219999,32.07,31,31.49,30.986126,161200,
2022/10/14,31.700001,31.82,30.879999,30.940001,30.444927,108600,
2022/10/17,31.459999,32,31.459999,31.690001,31.182924,110700,
2022/10/18,32.169998,32.919998,31.98,32.5,31.979959,144600,
2022/10/19,32.169998,32.66,31.25,31.469999,30.966444,86500,
2022/10/20,31.57,31.83,30.68,30.76,30.267807,97000,
2022/10/21,30.74,31.030001,29.969999,30.690001,30.198925,103000,
2022/10/24,31,31.129999,30.4,30.76,30.267807,89300,
2022/10/25,30.549999,31.74,30.450001,31.469999,30.966444,61900,
2022/10/26,31.66,32.669998,31.559999,32.07,31.556845,143200,
