Date,Open,High,Low,Close,Adj Close,Volume,Cumulative_Return
2022/8/15,100.510002,101.849998,99.800003,101.010002,101.010002,61327100,
2022/8/16,100.839996,101.449997,98.32,100.199997,100.199997,60220700,
2022/8/17,99.260002,99.639999,96.730003,98.269997,98.269997,63735600,
2022/8/18,97.739998,101.07,96.730003,100.440002,100.440002,76059500,
2022/8/19,98.669998,99.25,94.589996,95.949997,95.949997,67221700,
2022/8/22,94.400002,95.019997,92.360001,92.839996,92.839996,61837300,
2022/8/23,92.389999,94.440002,92.110001,92.489998,92.489998,52927000,
2022/8/24,92.209999,93.379997,90.900002,92.730003,92.730003,56520400,
2022/8/25,93.139999,97.57,93.139999,97.18,97.18,61016200,
2022/8/26,96.290001,97.599998,91.120003,91.18,91.18,65552500,
2022/8/29,90.050003,91.190002,88.260002,88.489998,88.489998,61142500,
2022/8/30,90.059998,90.150002,85.339996,86.940002,86.940002,69087100,
2022/8/31,86.279999,86.720001,83.720001,84.870003,84.870003,64991700,
2022/9/1,82.349998,82.760002,78.519997,82.330002,82.330002,94854700,
2022/9/2,83.32,83.650002,79.809998,80.239998,80.239998,84924400,
2022/9/6,80.410004,80.889999,78.370003,78.720001,78.720001,68727300,
2022/9/7,79.239998,80.25,77.739998,79.610001,79.610001,67891200,
2022/9/8,80.029999,83.449997,79.239998,82.779999,82.779999,89089300,
2022/9/9,84.029999,85.68,83.839996,85.449997,85.449997,68907700,
2022/9/12,84.889999,85.349998,83.459999,84.639999,84.639999,71922500,
2022/9/13,80.959999,81.470001,76.800003,77.029999,77.029999,80921200,
2022/9/14,77.099998,78.080002,75.870003,77.449997,77.449997,71483000,
2022/9/15,76.639999,77.970001,74.910004,76.660004,76.660004,81818000,
2022/9/16,75.620003,76.82,74.68,76.510002,76.510002,75300200,
2022/9/19,75.389999,77.339996,75.349998,76.769997,76.769997,64966900,
2022/9/20,76.080002,76.580002,74.730003,75.25,75.25,51129100,
2022/9/21,75.440002,78.410004,74.449997,74.480003,74.480003,82069700,
2022/9/22,73.889999,74.290001,69.169998,69.5,69.5,101436900,
2022/9/23,68,69.080002,66.82,67.959999,67.959999,87690000,
2022/9/26,67.870003,68.739998,66.25,66.300003,66.300003,82898700,
2022/9/27,67.900002,68.779999,66,67.169998,67.169998,94871800,
2022/9/28,67.110001,68.800003,66.559998,68.360001,68.360001,72389500,
2022/9/29,67.150002,67.199997,62.830002,64.139999,64.139999,102552400,
2022/9/30,63.619999,65.910004,63.34,63.360001,63.360001,81664100,
2022/10/3,64.459999,66.910004,63.389999,66.110001,66.110001,83841600,
2022/10/4,68.269997,69.18,67.330002,67.900002,67.900002,77160500,
2022/10/5,66.589996,68.690002,64.519997,67.940002,67.940002,87127400,
2022/10/6,67.82,70.290001,67.660004,67.849998,67.849998,98325900,
2022/10/7,64.010002,64.029999,58.220001,58.439999,58.439999,163786300,
2022/10/10,57.310001,58.790001,56.299999,57.810001,57.810001,112241800,
2022/10/11,57.209999,58.919998,56.049999,57.630001,57.630001,114054800,
2022/10/12,57.450001,58.32,56.32,57.849998,57.849998,89264200,
2022/10/13,55.52,60.139999,54.57,58.939999,58.939999,131159800,
2022/10/14,59.599998,59.939999,55.84,55.939999,55.939999,96959300,
2022/10/17,57.349998,58.509998,57.099998,57.959999,57.959999,76977600,
2022/10/18,59.91,60.490002,56.400002,57.919998,57.919998,103064500,
2022/10/19,57.330002,59.040001,56.57,57.23,57.23,75704800,
2022/10/20,57.470001,60.200001,57.400002,57.77,57.77,79552600,
2022/10/21,57.220001,58.91,55.709999,58.82,58.82,95366400,
2022/10/24,58.57,59,56.66,58.700001,58.700001,76305400,
2022/10/25,58.77,61.98,58.689999,61.470001,61.470001,85501900,
2022/10/26,59.689999,61.77,59.150002,59.73,59.73,79761600,
2022/10/27,61.599998,62.720001,58.509998,58.599998,58.599998,83871400,
2022/10/28,59.099998,62.349998,58.919998,62.009998,62.009998,78198600,
2022/10/31,60.75,61.860001,59.529999,60.060001,60.060001,73274100,
2022/11/1,61.490002,61.990002,59.43,59.66,59.66,83806700,
2022/11/2,63,63.93,58.57,58.630001,58.630001,142669400,
2022/11/3,58.110001,62.279999,58.029999,60.110001,60.110001,95279900,
2022/11/4,62.5,63,60.529999,62.189999,62.189999,84791300,
2022/11/7,62.93,63.529999,61.400002,63.080002,63.080002,62722500,
2022/11/8,64.089996,64.959999,62.369999,63.849998,63.849998,75938000,
2022/11/9,62.279999,63.049999,59.799999,59.919998,59.919998,62940300,
2022/11/10,64.300003,68.800003,63.619999,68.470001,68.470001,107996300,
2022/11/11,69.580002,73.32,68.290001,72.370003,72.370003,111709500,
2022/11/14,75.220001,75.25,72.669998,73.529999,73.529999,108892800,
2022/11/15,77.260002,79.160004,75.389999,76.370003,76.370003,108946300,
2022/11/16,73.660004,74.830002,71.93,72.699997,72.699997,79968000,
2022/11/17,70.559998,74.379997,70.160004,73.900002,73.900002,82320800,
2022/11/18,75.07,75.349998,72.18,73.57,73.57,73223200,
2022/11/21,72.209999,72.980003,71.57,72.459999,72.459999,51536300,
2022/11/22,72.720001,75.330002,72.110001,75.25,75.25,55450200,
2022/11/23,75.489998,78.220001,75.300003,76.400002,76.400002,81623600,
2022/11/25,75.669998,76.040001,74.75,75.139999,75.139999,26018900,
2022/11/28,73.809998,75.470001,72.57,73.190002,73.190002,45383800,
2022/11/29,73.620003,74.489998,72.779999,73.389999,73.389999,51846400,
2022/11/30,73.379997,77.699997,72.809998,77.629997,77.629997,88468400,
2022/12/1,78.309998,79.230003,76.440002,77.480003,77.480003,59833400,
2022/12/2,75.050003,76.279999,73.650002,74.980003,74.980003,64377200,
2022/12/5,74.540001,75.169998,72.82,73.620003,73.620003,47022200,
2022/12/6,73.080002,73.389999,69.400002,70.269997,70.269997,64965200,
2022/12/7,69.529999,71.370003,69.279999,70.139999,70.139999,59180100,
2022/12/8,70.139999,71.220001,69,70.470001,70.470001,56734100,
2022/12/9,69.489998,70.669998,68.519997,68.589996,68.589996,59058300,
2022/12/12,68.540001,70.669998,67.529999,70.669998,70.669998,60968300,
2022/12/13,74.870003,75.209999,70.660004,71.650002,71.650002,72458000,
2022/12/14,70.93,72,68.32,68.93,68.93,67278000,
2022/12/15,67.599998,68.209999,66.120003,66.529999,66.529999,58557000,
2022/12/16,66.25,67.190002,64.800003,65.410004,65.410004,62438600,
2022/12/19,65.120003,65.589996,63.709999,64.589996,64.589996,46246900,
2022/12/20,63.759998,66.059998,63.52,65.050003,65.050003,52431300,
2022/12/21,65.43,67.849998,65.209999,67.68,67.68,44167600,
2022/12/22,66.080002,66.309998,62.259998,63.860001,63.860001,73917700,
2022/12/23,63.110001,64.660004,62.720001,64.519997,64.519997,45923000,
2022/12/27,63.869999,64.279999,62.970001,63.27,63.27,36086000,
